"LevenbergMarquardtOptimizer","1808","1807","math006"
"LevenbergMarquardtOptimizer","1954","1953","math006"
"CMAESOptimizer","174","6","math018"
"CMAESOptimizer","180","12","math018"
"OpenMapRealVector","73","44","math029"
"OpenMapRealVector","74","45","math029"
"OpenMapRealVector","75","46","math029"
"OpenMapRealVector","76","47","math029"
"SimplexTableau","76","78","math042"
"SummaryStatistics","138","140","math043"
"SummaryStatistics","139","141","math043"
"SummaryStatistics","140","142","math043"
"Complex","1","2","math046"
"EmbeddedRungeKuttaIntegrator","531","523","math071"
"RungeKuttaIntegrator","331","337","math071"
"SimplexTableau","23","32","math083"
"SimplexTableau","27","36","math083"